iter	Logloss
0	0.68863539
1	0.6831197848
2	0.6790171963
3	0.6729570823
4	0.6685786567
5	0.6627227613
6	0.6580033215
7	0.6525235358
8	0.6487126954
9	0.6451349397
10	0.6408639768
11	0.6365830273
12	0.6312346051
13	0.6277235019
14	0.6223168191
15	0.6183015057
16	0.6141957372
17	0.6093029307
18	0.6047938488
19	0.6013364087
20	0.5972880757
21	0.5931170844
22	0.5895480339
23	0.5861413224
24	0.5816935831
25	0.5775064412
26	0.5741019634
27	0.5711672182
28	0.5668588666
29	0.5627168432
30	0.5590987504
31	0.5538881348
32	0.5502658305
33	0.5470309606
34	0.543453431
35	0.5400704647
36	0.5360606153
37	0.5333295472
38	0.5293885033
39	0.525726833
40	0.5225956803
41	0.5177607267
42	0.5149359841
43	0.5106512871
44	0.5071869816
45	0.5038810776
46	0.5003772531
47	0.4973661616
48	0.4943062587
49	0.4912460094
50	0.4878857248
51	0.4851554912
52	0.4824700228
53	0.4786932523
54	0.4756126088
55	0.4729291411
56	0.4699503042
57	0.4662058688
58	0.4625223308
59	0.4601427542
60	0.4567303265
61	0.4532506041
62	0.4509655397
63	0.4474767824
64	0.4451751865
65	0.4423231573
66	0.4397423467
67	0.4363550166
68	0.433706204
69	0.4311146395
70	0.4283969795
71	0.426086493
72	0.4225268902
73	0.4196913693
74	0.417417113
75	0.4145598728
76	0.4118843733
77	0.4087421182
78	0.4060505454
79	0.4032635078
80	0.4002666495
81	0.3975316624
82	0.3953637673
83	0.3929406626
84	0.3905621636
85	0.3872896753
86	0.3849533851
87	0.383106332
88	0.3804454236
89	0.3775995286
90	0.3751611691
91	0.3731323433
92	0.3707298015
93	0.3685281538
94	0.3664201018
95	0.3642288134
96	0.3626079312
97	0.3604685671
98	0.3582356917
99	0.3561989283
100	0.3540657283
101	0.351872157
102	0.3500733001
103	0.3480281521
104	0.3455091675
105	0.3429269245
106	0.341017879
107	0.3396060383
108	0.3374737345
109	0.3356111057
110	0.3335304544
111	0.331568018
112	0.329790393
113	0.3278483429
114	0.3256890559
115	0.3242273861
116	0.3220584527
117	0.3199635057
118	0.317545772
119	0.3159476595
120	0.3140555242
121	0.3118567787
122	0.3101824911
123	0.3084371293
124	0.307365778
125	0.3049289544
126	0.3030083194
127	0.3004267637
128	0.2986877368
129	0.2966963921
130	0.294719667
131	0.2931068447
132	0.2914148068
133	0.289684312
134	0.2880909892
135	0.286731924
136	0.2851375759
137	0.2834849903
138	0.2819183938
139	0.280269356
140	0.2791410248
141	0.277476059
142	0.2761849714
143	0.2739309772
144	0.2726499169
145	0.2706167918
146	0.2693502798
147	0.2676286563
148	0.2660147079
149	0.2649013571
150	0.2635995202
151	0.2622346709
152	0.2607764622
153	0.259084484
154	0.2574295581
155	0.2563138488
156	0.2547191391
157	0.2530669167
158	0.2514792377
159	0.2500235651
160	0.2487936496
161	0.2473219866
162	0.2460052762
163	0.2447576196
164	0.2434119075
165	0.2421358081
166	0.2405802617
167	0.2396600499
168	0.238521995
169	0.2369604456
170	0.2360211754
171	0.234579572
172	0.233230325
173	0.2320194535
174	0.2305681646
175	0.2293126187
176	0.2281026942
177	0.2267074138
178	0.225822416
179	0.224244043
180	0.2232116766
181	0.2224021254
182	0.2214027247
183	0.2203096455
184	0.2191148319
185	0.2180860651
186	0.2168047281
187	0.2155141164
188	0.2143985153
189	0.213042721
190	0.2120362931
191	0.2105290263
192	0.2094305899
193	0.2083194883
194	0.2074474243
195	0.2063362002
196	0.2050357446
197	0.2040870642
198	0.2032861482
199	0.2024156099
200	0.201332061
201	0.2005111591
202	0.1993523982
203	0.1981728598
204	0.1972973846
205	0.1963159013
206	0.194965016
207	0.1942372048
208	0.1933736796
209	0.1923208395
210	0.1916142758
211	0.1908986183
212	0.1899396019
213	0.1890217793
214	0.1882032112
215	0.1873255872
216	0.1865971697
217	0.1859621004
218	0.18499084
219	0.1842092761
220	0.1827053384
221	0.1816394391
222	0.1809349803
223	0.1801867683
224	0.1790789469
225	0.1780979702
226	0.1772742493
227	0.1764384203
228	0.1758854863
229	0.1750065292
230	0.1740474686
231	0.1734749951
232	0.1726922555
233	0.1716440529
234	0.1708326687
235	0.169948255
236	0.1691797107
237	0.168571708
238	0.1679744786
239	0.1672968984
